M,1.3429363,-1.4273582,-0.42049864,-0.44770908,0.57635146,1.0276142,0.2468579,-0.8387442,-0.87859726,0.18477863,-1.1283439,2.3364007,0.1723913,0.22589888,1.1236694,0.2330754,-0.92798084,-1.1615404,1.0366324,0.5347111,0.35159838,-1.4722029,-0.6906045,1.145944,0.33803955,-0.58200663,-0.28296494,-1.1990098,-0.043453924,0.17498012,0.4293169,-0.2033872
N,-0.9826452,-1.1704817,-0.31290492,-2.4046726,-1.3741766,0.031066231,1.2689487,2.4988816,-0.30016544,0.41805556,0.12702599,1.2395866,-0.14889854,-0.057342123,-0.06823989,0.6675771,0.16213766,-0.12351246,-0.41287223,-0.5798607,-0.5372908,0.52835727,0.3071343,-1.2548189,-0.9317259,1.2642233,2.0449746,-0.036222946,-1.8798866,0.1091581,0.2023992,-0.13961086
P,0.2770021,-0.78894866,-0.18478064,1.0071223,-2.3550699,0.21828489,0.31949043,-0.41934142,-0.58749354,-0.85002416,-0.21006097,1.1227945,-0.81164604,-0.309411,0.0535267,0.34367767,-0.43627265,-0.77817404,1.3636658,0.11282161,-0.42323524,0.16416833,1.1016239,0.45630068,1.8100892,-1.9964278,-0.68080425,-1.0470263,-0.0026540642,-1.513016,0.83826876,-0.13627404
Q,-0.6213835,-1.8761277,-0.28121242,-0.3361261,-0.16959207,-1.5045074,0.6787468,1.923449,0.6496694,-0.3167873,-0.5961213,-1.9051048,-1.3615395,-1.0838834,-1.7793384,-1.4568807,1.2165983,-0.8033188,-0.43494034,-1.8539118,-0.38976878,0.6374429,0.23321095,1.2106487,-0.7013312,-2.0818427,2.1124752,2.7275684,0.6410388,1.2626036,-1.0019442,0.6500021
R,-1.2602487,2.0750628,0.16545337,0.8311163,-1.1295987,1.0096331,-1.088751,-1.2448382,1.4726875,-0.27182406,-1.721191,-0.84685165,0.18738694,-1.0535371,0.29880413,-1.4234425,0.34719157,-0.560379,0.18589222,-0.33802924,-0.5395743,-0.47368908,-0.05357315,-0.63358563,0.81696206,0.8177264,-0.74005103,1.0595884,-0.7873144,8.362263e-05,0.9003623,0.6834402
S,-0.55704445,-0.6372228,-1.7269201,-1.642388,0.5466299,0.20904501,-0.10672759,-1.06888,-0.6417938,-0.6735616,1.5523745,-0.6946163,-0.59171945,0.20161816,-0.53183883,-0.48784247,1.2328252,0.67016846,0.6508125,-1.0963982,0.75112224,0.8685512,0.34920594,0.21139807,-0.31286886,1.2991096,-0.34591195,0.8455393,-0.7959545,-0.953556,1.1308064,0.8787458
T,-0.7398947,0.42089638,0.40581396,0.45749003,-0.12107953,-0.13779995,-0.5794039,-0.07697128,-0.79402983,0.77186793,0.24271406,0.058640268,-0.2703627,-1.177454,1.7312155,-0.40688276,0.39301226,1.3722588,-0.104739465,0.68191975,-1.7296611,0.14703332,-0.28219977,0.017269207,-0.30357197,1.1522486,0.47805133,-0.5239286,-0.8485136,0.31485343,-1.0091672,-0.11896518
V,-0.5670957,2.4870179,1.5618124,0.22881335,1.1016883,0.4560225,-1.2803152,-0.20035106,-0.90800405,-1.142159,-0.93933225,-0.5064407,-0.93079793,1.6685244,0.74442506,0.050680388,1.4956039,-1.6878885,1.055298,-1.0489647,-0.9857524,0.43359572,-0.7676671,-0.05351878,-1.6291547,0.67412585,0.15600991,0.029615467,-0.2361019,-0.2542591,0.35118753,-1.9547153
W,-0.82174623,-0.5425376,0.675518,-0.63622755,-0.78997797,-0.55013484,0.53164107,0.13530555,-0.07143799,1.9300587,0.8000018,1.5879132,0.76591665,-0.26427123,0.52267,-1.4369535,-1.5574632,0.71291,-1.6619256,0.26223966,0.5858537,0.7537063,-0.6305276,-2.4863384,1.1294045,-1.4513087,-1.5939465,0.109587245,1.3985394,-0.72043604,-0.74989134,0.6595887
Y,-0.84636813,-0.51743394,-0.7510369,-0.11146031,-0.124572575,1.6171454,-0.41396052,1.4654711,1.1013217,0.33330882,1.1466393,0.43832245,-2.7268558,1.1077713,1.7701125,-0.23407479,-0.89483035,-0.11933092,-0.6753792,1.4036517,-0.22985591,1.1553032,0.26930326,-0.31904155,1.1949033,1.6334805,0.9151918,0.8735988,1.3606972,0.31924024,0.15855277,-1.4689921
